Property_ID,Total_Growth,Volatility,HHI_Concentration,Rollover_Exposure,Growth_Score,Stability_Score,Diversification_Score,Rollover_Score,Risk_Probability,Risk_Score,Growth_First,Risk_First,Balanced,Dominant_Strategy,Decision_Confidence
P01,1.4327179881562098,0.02702554793567518,0.5399999999367019,0.30000000005934196,100.0,83.86430600461594,0.0,66.6666666541938,1.8419488633395665e-05,99.99815805113667,76.77286119905226,56.01917376516403,62.63274316470243,Growth_First,Moderate Confidence
P02,1.2264361690691818,0.03403855804738541,0.4749999999302752,0.3500000000666934,85.5964610406889,78.62678183454092,17.808219182931218,58.33333331979076,0.0005168633218801019,99.94831366781199,69.94481976266093,56.004818830985265,60.09119884448795,Growth_First,Moderate Confidence
P03,0.9210127826989473,0.043969205876913296,0.5208000000630679,0.319999999937848,64.27040494840458,71.21027919114586,5.260273938894144,63.33333334117168,0.00030000726233581597,99.96999927376642,56.66629940444133,48.76205372870267,51.018572854904065,Growth_First,Moderate Confidence
P04,0.26514828509498456,0.009406796676870364,0.2100000000032991,0.14999999998350438,18.474949560830147,97.02251255139448,90.4109589015428,91.66666666636688,0.0002455091621761593,99.97544908378238,55.953621125880424,85.84532868612565,74.39377192003359,Risk_First,Moderate Confidence
P05,0.12739482579138994,0.007431928026862812,0.175,0.09999999999999999,8.856373737518654,98.49740309374045,100.0,99.99999999679542,9.222366903628467e-05,99.99077763309637,54.12766748702673,90.35972845575986,76.83844420701362,Risk_First,Moderate Confidence
P06,0.0005573249347737059,0.005419960739412218,0.25499999999999995,0.19999999999999996,0.0,100.0,78.08219177702097,83.3333333304398,0.0031761287443098076,99.68238712556902,44.212328766119114,79.25799086571624,65.3538812768652,Risk_First,Moderate Confidence
P07,0.18229423131965342,0.13931929721941533,0.3,0.09999999998077258,12.68970102670528,0.0,65.75342465159522,100.0,3.4499551766419434e-06,99.99965500448234,31.207864211091923,45.9949974981491,44.610781419575126,Risk_First,Low Confidence
P08,0.5407074291346752,0.1075195926233306,0.37999999998069134,0.2000000000275836,37.71574782573017,23.748963536375523,43.83561643390621,83.33333332584252,2.5459620923783183e-05,99.99745403790762,42.6830090841025,46.067730281936946,47.1584152804636,Balanced,Low Confidence
P09,0.28291771263865884,0.11260481938060998,0.24499999997803357,0.2000000000516856,19.715692167438583,19.95116521193139,80.82191781091153,83.33333332182552,0.0002740589423207403,99.97259410576793,38.47136679601613,54.03438571464969,50.95552712802676,Risk_First,Low Confidence
P10,0.29005466575958216,0.013120794446706488,0.2549999999975908,0.6999999999919694,20.214026837856757,94.2487887470269,78.08219177768099,0.0,0.9999950678588689,0.0004932141131064327,40.66909993498591,58.433136278549384,48.136251840641165,Risk_First,Moderate Confidence
P11,0.09383227697737223,0.012263831033068525,0.20999999999999996,0.5,6.512883256602661,94.88879446786625,90.41095890244667,33.33333333137285,0.9969676480009325,0.3032351999067484,40.795844356947505,69.31898739299066,56.286492489572105,Risk_First,Moderate Confidence
P12,0.0016071477935447488,0.015172796681335605,0.36500000002065464,0.5499999999619518,0.07330342787167606,92.71629255356325,47.94520546476594,25.000000004536393,0.998383010003949,0.1616989996050977,29.521691045043838,53.09159437709819,41.43370036268431,Risk_First,Moderate Confidence
